,dist,crop,eff
134,DANTEWADA,Banana,40.05604395604396
135,DARBHANGA,Sugarcane,37.92683422532349
136,DARJEELING,Coconut ,3062.4969222160044
137,DARRANG,Coconut ,4895.748008812066
138,DATIA,Sugarcane,33.911682760199994
139,DAUSA,Sugarcane,48.31884057971015
140,DAVANGERE,Sugarcane,104.24711087631249
141,DEHRADUN,Sugarcane,58.89924379808348
142,DEOGARH,Sugarcane,52.349797160243405
143,DEOGHAR,Potato,7.894464032599142
144,DEORIA,Sugarcane,50.029669052155114
145,DEWAS,Papaya,29.6
146,DHALAI,Sugarcane,47.2662490211433
147,DHAMTARI,Banana,46.93830334190231
148,DHANBAD,Potato,7.375827165014517
149,DHAR,Banana,37.882875264270616
150,DHARMAPURI,Coconut ,1515.057463821161
151,DHARWAD,Sugarcane,66.78546637380326
152,DHEMAJI,Coconut ,3743.0422059651096
153,DHENKANAL,Sugarcane,61.18846641318123
154,DHOLPUR,Sugarcane,62.02751375687844
155,DHUBRI,Coconut ,5337.950473783954
156,DHULE,Banana,97.4
157,DIBANG VALLEY,Sugarcane,18.746341463414634
158,DIBRUGARH,Coconut ,3158.828334396937
159,DIMA HASAO,Coconut ,3027.769024171889
160,DIMAPUR,Sugarcane,54.93746381007527
161,DINAJPUR DAKSHIN,Coconut ,1308.5185944363104
162,DINAJPUR UTTAR,Coconut ,1149.8279813457696
163,DINDIGUL,Coconut ,2830.8349668530823
164,DINDORI,Onion,13.965579710144928
165,DODA,Potato,5.536842105263157
166,DOHAD,Onion,27.802083333333332
167,DUMKA,Onion,6.715304798962387
168,DUNGARPUR,Sugarcane,47.75991522858008
169,DURG,Papaya,43.62809917355372
170,EAST DISTRICT,Potato,4.975935828877005
171,EAST GARO HILLS,Pineapple,16.949745906267644
172,EAST GODAVARI,Coconut ,12826.975634205484
173,EAST JAINTIA HILLS,Tapioca,12.69767441860465
174,EAST KAMENG,Sugarcane,12.764285714285714
175,EAST KHASI HILLS,Banana,11.612583067230517
176,EAST SIANG,Sugarcane,38.09473684210526
177,EAST SINGHBUM,Onion,5.956025605343724
178,ERNAKULAM,Coconut ,5153.614694812554
179,ERODE,Coconut ,1987.4552602070248
180,ETAH,Sugarcane,51.35143435153459
181,ETAWAH,Sugarcane,51.385458531238584
182,FAIZABAD,Sugarcane,54.73677273983377
183,FARIDABAD,Sugarcane,49.00174452413258
184,FARIDKOT,Sugarcane,64.45454545454545
185,FARRUKHABAD,Sugarcane,56.28144742837324
186,FATEHABAD,Sugarcane,57.85762580894427
187,FATEHGARH SAHIB,Sugarcane,73.7135524976771
188,FATEHPUR,Sugarcane,52.53701118283732
189,FAZILKA,Sugarcane,154.84515484515484
190,FIROZABAD,Sugarcane,46.4918228958915
191,FIROZEPUR,Sugarcane,62.741679873217116
192,GADAG,Sugarcane,92.3530866302865
193,GADCHIROLI,Sugarcane,99.0
194,GAJAPATI,Sugarcane,60.79205708966801
195,GANDERBAL,Potato,4.236585365853658
196,GANDHINAGAR,Banana,53.19266055045872
197,GANGANAGAR,Sugarcane,55.883184606804235
198,GANJAM,Sugarcane,71.97589376915221
199,GARHWA,Sugarcane,41.97530864197531
200,GARIYABAND,Banana,33.89655172413793
201,GAUTAM BUDDHA NAGAR,Sugarcane,63.61823655232512
202,GAYA,Sugarcane,40.90090277777778
203,GHAZIABAD,Sugarcane,60.82076428117552
204,GHAZIPUR,Sugarcane,42.95481270278242
205,GIRIDIH,Onion,12.036412688896334
206,GOALPARA,Coconut ,6793.0890376357665
207,GODDA,Sugarcane,43.351131451817956
208,GOLAGHAT,Coconut ,11424.328311773375
209,GOMATI,Sugarcane,49.82941176470588
210,GONDA,Sugarcane,51.01189065137513
211,GONDIA,Sugarcane,59.273418854415276
212,GOPALGANJ,Sugarcane,43.992126030711134
213,GORAKHPUR,Sugarcane,55.456954810693446
214,GULBARGA,Sugarcane,61.653401758948604
215,GUMLA,Onion,5.20094323391594
216,GUNA,Papaya,42.0
217,GUNTUR,Coconut ,11945.257973733584
218,GURDASPUR,Sugarcane,72.85011293965795
219,GURGAON,Sugarcane,41.03405826836274
220,GWALIOR,Sugarcane,35.06657138558748
221,HAILAKANDI,Coconut ,2572.3810967208597
222,HAMIRPUR,Sugarcane,42.28486890339699
223,HANUMANGARH,Sugarcane,48.193661971830984
224,HAPUR,Sugarcane,65.92364189947118
225,HARDA,Papaya,40.125
226,HARDOI,Sugarcane,52.649796435753515
227,HARIDWAR,Sugarcane,60.04080599356287
228,HASSAN,Sugarcane,102.10680773054933
229,HATHRAS,Sugarcane,54.50100153175445
230,HAVERI,Sugarcane,86.27345499057773
231,HAZARIBAGH,Sugarcane,18.898019069255128
232,HINGOLI,Sugarcane,65.85882063025538
233,HISAR,Sugarcane,51.43141838807343
234,HOOGHLY,Coconut ,2198.7767942583732
235,HOSHANGABAD,Papaya,41.657534246575345
236,HOSHIARPUR,Sugarcane,66.21136502933193
237,HOWRAH,Coconut ,1795.3260148981362
238,HYDERABAD,Dry chillies,2.066666666666667
239,IDUKKI,Coconut ,3900.8417804893706
240,IMPHAL EAST,Sugarcane,32.666666666666664
241,IMPHAL WEST,Sugarcane,32.674418604651166
242,INDORE,Papaya,46.5
243,JABALPUR,Papaya,49.5
244,JAGATSINGHAPUR,Sugarcane,63.47892505677517
245,JAIPUR,Sugarcane,50.112977099236645
246,JAISALMER,Sugarcane,48.3
247,JAJAPUR,Sugarcane,44.76146830825354
248,JALANDHAR,Sugarcane,64.34001864192912
249,JALAUN,Banana,41.0
250,JALGAON,Sugarcane,67.01154736696286
251,JALNA,Sugarcane,69.11673463033674
252,JALORE,Papaya,7.8125
253,JALPAIGURI,Coconut ,2032.1945888216446
254,JAMMU,Potato,13.203425229741018
255,JAMNAGAR,Sugarcane,71.66666666666667
256,JAMTARA,Onion,8.828803972961786
257,JAMUI,Sugarcane,49.58534977874023
258,JANJGIR-CHAMPA,Banana,29.390070921985817
259,JASHPUR,Papaya,35.666666666666664
260,JAUNPUR,Sugarcane,50.16367438588376
261,JEHANABAD,Sugarcane,42.978764949963384
262,JHABUA,Papaya,39.27777777777778
263,JHAJJAR,Sugarcane,47.84541460030321
264,JHALAWAR,Sugarcane,55.08006279434851
265,JHANSI,Sugarcane,41.30614300100705
266,JHARSUGUDA,Sugarcane,73.53235294117648
267,JHUNJHUNU,Sugarcane,44.25
268,JIND,Sugarcane,54.76860713883572
269,JODHPUR,Sugarcane,45.0
270,JORHAT,Coconut ,5714.073164459303
271,JUNAGADH,Sugarcane,83.0
272,KABIRDHAM,Banana,34.669172932330824
273,KACHCHH,Banana,68.86363636363636
274,KADAPA,Coconut ,6251.756144890039
275,KAIMUR (BHABUA),Sugarcane,33.524190894130555
276,KAITHAL,Sugarcane,54.780913137853645
277,KALAHANDI,Sugarcane,58.46051783412118
278,KAMRUP,Coconut ,8407.82310984308
279,KAMRUP METRO,Coconut ,5213.72231884058
280,KANCHIPURAM,Coconut ,1601.020005837247
281,KANDHAMAL,Sugarcane,42.12441860465116
282,KANGRA,Potato,8.384665750016369
283,KANKER,Banana,41.5819209039548
284,KANNAUJ,Sugarcane,52.22833518842423
285,KANNIYAKUMARI,Coconut ,1854.590072734016
286,KANNUR,Coconut ,5917.192519811863
287,KANPUR DEHAT,Sugarcane,49.09207229301061
288,KANPUR NAGAR,Sugarcane,45.277454694626094
289,KAPURTHALA,Sugarcane,65.75571959583267
290,KARAIKAL,Coconut ,10256.30386211299
291,KARAULI,Sugarcane,64.29382183908046
292,KARBI ANGLONG,Coconut ,4023.4017107309487
293,KARGIL,Potato,9.348235294117647
294,KARIMGANJ,Coconut ,3923.047475424486
295,KARIMNAGAR,Sugarcane,78.66921110430994
296,KARNAL,Sugarcane,59.18513057762969
297,KARUR,Coconut ,1614.0419872963482
298,KASARAGOD,Coconut ,7621.912852175824
299,KASGANJ,Sugarcane,56.18822398461908
300,KATHUA,Potato,5.8999999999999995
301,KATIHAR,Sugarcane,48.05288461538461
302,KATNI,Banana,71.08108108108108
303,KAUSHAMBI,Sugarcane,44.641249034183254
304,KENDRAPARA,Sugarcane,58.64488778054864
305,KENDUJHAR,Sugarcane,44.642917103882475
306,KHAGARIA,Sugarcane,52.4015401540154
307,KHAMMAM,Coconut ,9940.608229156413
308,KHANDWA,Papaya,41.107142857142854
309,KHARGONE,Sugarcane,31.529717637100187
310,KHEDA,Sugarcane,71.9375
311,KHERI,Sugarcane,56.87920477901177
312,KHORDHA,Sugarcane,56.259875837281484
313,KHOWAI,Sugarcane,54.66412213740458
314,KHUNTI,Onion,6.212328767123288
315,KINNAUR,Potato,7.1782352941176475
316,KIPHIRE,Sugarcane,40.48571428571429
317,KISHANGANJ,Sugarcane,49.21322314049587
318,KISHTWAR,Potato,10.625225225225226
319,KODAGU,Sugarcane,94.0
320,KODERMA,Sugarcane,43.2285484550293
321,KOHIMA,Sugarcane,41.39349112426036
322,KOKRAJHAR,Coconut ,5132.4563435495365
323,KOLAR,Sugarcane,95.17528655297735
324,KOLASIB,Sugarcane,19.11204481792717
325,KOLHAPUR,Sugarcane,89.19037080196229
326,KOLLAM,Coconut ,6012.371564556459
327,KONDAGAON,Banana,33.68627450980392
328,KOPPAL,Sugarcane,88.60849373663306
329,KORAPUT,Sugarcane,78.21551750075217
330,KORBA,Banana,30.27027027027027
331,KOREA,Banana,31.333333333333332
332,KOTA,Sugarcane,53.23887587822014
333,KOTTAYAM,Coconut ,4661.012018226914
334,KOZHIKODE,Coconut ,6692.428947597335
335,KRISHNA,Coconut ,13000.456938996913
336,KRISHNAGIRI,Coconut ,4923.1300964489255
337,KULGAM,Potato,4.964467005076142
338,KULLU,Potato,8.025427193197613
339,KUPWARA,Potato,10.306489675516223
340,KURNOOL,Coconut ,5451.227642276423
341,KURUKSHETRA,Sugarcane,62.68793871321405
