,District,State,Latitude,Longitude,Crop,eff
65,BHAGALPUR,Bihar,25.277192885375477,87.04213814229242,Sugarcane,58.94970798852591
66,BHOJPUR,Bihar,25.50666439393939,84.49407803030304,Sugarcane,42.73104294478527
67,BUXAR,Bihar,25.48593018867924,84.08808081760995,Sugarcane,43.96093527231252
68,DARBHANGA,Bihar,26.146187719298258,85.97387352472099,Sugarcane,37.92683422532349
69,GAYA,Bihar,24.7266541547278,84.94291217765044,Sugarcane,40.90090277777778
70,GOPALGANJ,Bihar,26.44874364161851,84.34636127167629,Sugarcane,43.992126030711134
71,JAMUI,Bihar,24.78418380462726,86.26316298200514,Sugarcane,49.58534977874023
72,JEHANABAD,Bihar,25.155679045643165,84.9208124481328,Sugarcane,42.978764949963384
73,KATIHAR,Bihar,25.56565356037151,87.70466083591326,Sugarcane,48.05288461538461
74,KHAGARIA,Bihar,25.53558891454964,86.56593256351037,Sugarcane,52.4015401540154
75,KISHANGANJ,Bihar,26.324336758321294,87.95045007235886,Sugarcane,49.21322314049587
76,LAKHISARAI,Bihar,25.183449321266963,86.12825701357468,Sugarcane,84.21666666666667
77,MADHEPURA,Bihar,25.77341929460581,86.8978443983403,Sugarcane,52.008456802652056
78,MADHUBANI,Bihar,26.41380538172716,86.16328360450552,Sugarcane,30.530432770192085
79,MUNGER,Bihar,25.198537962962963,86.54173672839504,Sugarcane,61.70134638922889
80,MUZAFFARPUR,Bihar,26.18664417177915,85.32745092024543,Sugarcane,48.89300206212998
81,NALANDA,Bihar,25.229345508982053,85.48053113772461,Sugarcane,42.244897959183675
82,NAWADA,Bihar,24.825708836206903,85.61594568965519,Sugarcane,43.011511325659114
83,PASHCHIM CHAMPARAN,Bihar,27.16064352201258,84.30265911949685,Sugarcane,48.24435723064037
84,PATNA,Bihar,25.40297114503818,85.3198433587787,Sugarcane,37.10952717007763
85,PURBI CHAMPARAN,Bihar,26.68129336734693,85.00382155612242,Sugarcane,46.40459710683103
86,PURNIA,Bihar,25.81714801901739,87.40447606973065,Sugarcane,44.26013143483023
87,ROHTAS,Bihar,24.99170460829495,83.9350762672811,Sugarcane,33.1899200983405
88,SAHARSA,Bihar,25.821270696721303,86.54670819672135,Sugarcane,47.46190476190476
89,SAMASTIPUR,Bihar,25.793205563909765,85.94833323308269,Sugarcane,37.815895842219646
90,SARAN,Bihar,25.89656077844312,84.82266287425155,Sugarcane,42.01813198397639
91,SHEIKHPURA,Bihar,25.12472436548223,85.77839390862943,Sugarcane,54.880228974020255
92,SHEOHAR,Bihar,26.458380748663107,85.29539411764709,Sugarcane,49.79115479115479
93,SITAMARHI,Bihar,26.56570069686413,85.61172491289203,Sugarcane,53.4609838878395
94,SIWAN,Bihar,26.1736372013652,84.33766552901022,Sugarcane,41.00780795275479
95,SUPAUL,Bihar,26.28157893772896,86.78496465201461,Sugarcane,41.3580375782881
96,VAISHALI,Bihar,25.8134703180212,85.39247597173153,Sugarcane,47.1513778784447
97,CHANDIGARH,Chandigarh,30.7426,76.75872465753424,Potato,23.662092624356774
98,BASTAR,Chhattisgarh,19.393866751269048,81.52895126903546,Papaya,45.583333333333336
99,BILASPUR,Chhattisgarh,22.356942982456143,81.99770350877188,Banana,40.12765957446808
